Time,K22,K17,K24,N11,N5,N3,O8,O17,O18,R2
11/27/1983,0,0,0,0,0,0,0,0.000417709,0,0
12/4/1983,0,0,0,0,0,0,0,0.000417709,0,0
12/11/1983,0,0,0,0,0,0,0,0.000417709,0,0
12/18/1983,0,0,0,0,0,0,0,0.000417709,0,0
12/25/1983,0,0,0,0,0,0,0,0.000417709,0,0
1/1/1984,0,0,0,0,0,0,0,0.000417709,0,0
1/8/1984,0,0,0,0,0,0,0,0.000417709,0,0
1/15/1984,0,0,0,0,0,0,0,0.000417709,0,0
1/22/1984,0,0,0,0,0,0,0,0.000417709,0,0
1/29/1984,0,0,0,0,0,0,0,0.000417709,0,0
2/5/1984,0,0,0,0,0,0,0,0,0,0
2/12/1984,0,0,0,0,0,0,0,0,0,0
2/19/1984,0,0,0,0,0,0,0,0,0,0
2/26/1984,0,0,0,0,0,0,0,0,0,0
3/4/1984,0,0,0,0,0,0,0,0,0,0
3/11/1984,0,0,0,0,0,0,0,0,0,0
3/18/1984,0,0,0,0,0,0,0,0,0,0
3/25/1984,0,0,0,0,0,0,0,0,0,0
4/1/1984,0,0,0,0,0,0,0,0,0,0
4/8/1984,0,0,0,0,0,0,0,0,0,0
4/15/1984,0,0,0,0,0,0,0,0,0,0
4/22/1984,0,0,0,0,0,0,0,0,0,0
4/29/1984,0,0,0,0,0,0,0,0,0,0
5/6/1984,0,0,0,0,0,0,0,0,0,0
5/13/1984,0,0,0,0,0,0,0,0,0,0
5/20/1984,0,0,0,0,0,0,0,0,0,0
5/27/1984,0,0,0,0,0,0,0,0,0,0
6/3/1984,0,0,0,0,0,0,0,0,0,0
6/10/1984,0,0,0,0,0,0,0,0,0,0.200000763
6/17/1984,0.615291595,0.336755753,0.213514328,0.514684677,0,0,0,0,0,0.200000763
6/24/1984,0.615291595,0.336755753,0.213514328,0.514684677,0,0,0,0,0,0.200000763
7/1/1984,0.870582581,0.638511658,0.267028809,0.514684677,0,0,0,0,0,0.200000763
7/8/1984,0.870582581,0.638511658,0.267028809,0.514684677,0,0,0,0,0,0.200000763
7/15/1984,0.870582581,0.638511658,0.267028809,0.514684677,0,0,0,0,0,0.200000763
7/22/1984,0.870582581,0.638511658,0.267028809,0.514684677,0.420885086,0,0,0,0,0.200000763
7/29/1984,0.870582581,0.638511658,0.267028809,0.514684677,0.420885086,0,0,0,0,0.200000763
8/5/1984,0.870582581,0.638511658,0.267028809,0.514684677,0.420885086,0,0,0,0,0.200000763
8/12/1984,0.870582581,0.638511658,0.267028809,0.514684677,0.420885086,0,0,0,0,0.200000763
8/19/1984,0.870582581,0.638511658,0.267028809,0.514684677,0.420885086,0,0,0,0,0.200000763
8/26/1984,0.870582581,0.638511658,0.267028809,0.514684677,0.420885086,0,0,0,0,0.200000763
9/2/1984,0.870582581,0.638511658,0.267028809,0.514684677,0.420885086,0,0,0,0,0
9/9/1984,0.255290985,0.301755905,0.053514481,0.144685745,0.551769257,0,0,0,0,0
9/16/1984,0.255290985,0.301755905,0.053514481,0.144685745,0.582654953,0,0,0,0,0
9/23/1984,0,0,0,0.144685745,0.582654953,0.040000916,0,0,0,0
9/30/1984,0,0,0,0.144685745,0.582654953,0.040000916,0,0,0,0
10/7/1984,0,0,0,0.144685745,0.582654953,0.040000916,0,0,0,0
10/14/1984,0,0,0,0.144685745,0.161769867,0.040000916,0,0,0,0
10/21/1984,0,0,0,0.144685745,0.161769867,0.040000916,0,0,0,0
10/28/1984,0,0,0,0.144685745,0.161769867,0.040000916,0,0,0,0
11/4/1984,0,0,0,0.144685745,0.161769867,0.040000916,0,0,0,0
11/11/1984,0,0,0,0.144685745,0.161769867,0.040000916,0.096757889,0,0,0
11/18/1984,0,0,0,0.144685745,0.161769867,0.040000916,0.096757889,0,0,0
11/25/1984,0,0,0,0.144685745,0.572654724,0.040000916,0.096757889,0,0,0
12/2/1984,0,0,0,0,0.441770554,0.040000916,0.096757889,0,0,0
12/9/1984,0,0,0,0,0.410884857,0.040000916,0.096757889,0,0,0
12/16/1984,0,0,0,0,0.410884857,0,0.096757889,0,0,0
12/23/1984,0,0,0,0,0.410884857,0,0.096757889,0,0,0
12/30/1984,0,0,0,0,0.410884857,0,0.096757889,0,0,0
1/6/1985,0,0,0,0,0.410884857,0,0.096757889,0,0,0
1/13/1985,0,0,0,0.284685135,0.771770477,0.11000061,0.096757889,0,0,0
1/20/1985,0,0,0,0.284685135,0.771770477,0.11000061,0.096757889,0,0,0
1/27/1985,0,0,0,0.284685135,0.771770477,0.11000061,0.203516006,0.527084351,0.51999855,0.159999847
2/3/1985,0,0,0,0.284685135,0.771770477,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
2/10/1985,0,0,0,0.284685135,0.771770477,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
2/17/1985,0,0,0,0.284685135,0.36088562,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
2/24/1985,0,0,0,0.284685135,0.36088562,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
3/3/1985,0,0,0,0.284685135,0.36088562,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
3/10/1985,0,0,0,0.284685135,0.36088562,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
3/17/1985,0,0,0,0.284685135,0.36088562,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
3/24/1985,0,0,0,0.284685135,0.36088562,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
3/31/1985,0,0,0,0.284685135,0.36088562,0.11000061,0.106758118,0.527084351,0.51999855,0.159999847
4/7/1985,0,0,0,0,0,0,0.106758118,0.527084351,0.51999855,0.159999847
4/14/1985,0,0,0,0,0,0,0.106758118,0.527084351,0.51999855,0.159999847
4/21/1985,0,0,0,0,0,0,0,0,0,0
4/28/1985,0,0,0,0,0,0,0,0,0,0
5/5/1985,0,0,0,0,0,0,0,0,0,0
5/12/1985,0,0,0,0,0,0,0,0,0,0
5/19/1985,0,0,0,0,0,0,0,0,0,0
5/26/1985,0,0,0,0,0,0,0,0,0,0
6/2/1985,0,0,0,0,0,0,0,0,0,0
6/9/1985,0,0,0,0,0,0,0,0,0,0
6/16/1985,0,0,0,0,0,0,0,0,0,0
6/23/1985,0,0,0,0,0,0,0,0,0,0
6/30/1985,0,0,0,0,0,0,0,0,0,0
7/7/1985,0,0,0,0,0,0,0,0,0,0
7/14/1985,0,0,0,0,0,0,0,0,0,0
7/21/1985,0,0,0,0,0,0,0,0,0,0
7/28/1985,0,0,0,0,0,0,0,0,0,0
8/4/1985,0,0,0,0,0,0,0,0,0,0
8/11/1985,0,0,0,0,0,0,0,0,0,0
8/18/1985,0,0,0,0,0,0,0,0,0,0
8/25/1985,0,0,0,0,0,0,0,0,0,0
9/1/1985,0,0,0,0,0,0,0,0,0,0
9/8/1985,0,0,0,0,0,0,0,0,0,0
9/15/1985,0,0,0,0,0,0,0,0,0,0
9/22/1985,0,0,0,0,0,0,0,0,0,0
9/29/1985,0,0,0,0,0,0,0,0,0,0
10/6/1985,0,0,0,0,0,0,0,0,0,0
10/13/1985,0,0,0,0,0,0,0,0,0,0
10/20/1985,0,0,0,0,0,0,0,0,0,0
10/27/1985,0,0,0,0,0,0,0,0,0,0
11/3/1985,0,0,0,0,0,0,0,0,0,0
11/10/1985,0,0,0,0,0,0,0,0,0,0
11/17/1985,0,0,0,0,0,0,0,0,0,0
11/24/1985,0,0,0,0,0,0,0,0,0,0
12/1/1985,0,0,0,0,0,0,0,0,0,0
12/8/1985,0,0,0,0,0.065885544,0,0,0,0,0
12/15/1985,0,0,0,0,0.065885544,0,0,0,0,0
12/22/1985,0,0,0,0,0.065885544,0,0,0,0,0
12/29/1985,0,0,0,0,0.065885544,0,0,0,0,0
1/5/1986,0,0,0,0,0.065885544,0,0,0,0,0
1/12/1986,0,0,0,0,0.065885544,0,0,0,0,0
1/19/1986,0,0,0,0,0.065885544,0,0,0,0,0
1/26/1986,0,0,0,0,0.065885544,0,0,0,0,0
2/2/1986,0,0,0,0,0.065885544,0,0,0,0,0
2/9/1986,0,0,0,0,0.065885544,0,0,0,0,0
2/16/1986,0,0,0,0,0.065885544,0,0,0,0,0
2/23/1986,0,0,0,0,0.065885544,0,0,0,0,0
3/2/1986,0,0,0,0,0,0,0,0,0,0
3/9/1986,0,0,0,0.064685822,0,0,0,0,0,0
3/16/1986,0,0,0,0.064685822,0,0,0,0,0,0
3/23/1986,0,0,0,0.064685822,0,0,0,0,0,0
3/30/1986,0,0,0,0.064685822,0,0,0,0,0,0
4/6/1986,0,0,0,0.064685822,0,0,0,0,0,0
4/13/1986,0,0,0,0.064685822,0,0,0,0,0,0
4/20/1986,0,0,0,0.064685822,0.080884933,0,0,0,0.090000153,0
4/27/1986,0,0,0,0.479372025,0.080884933,0.260000229,0,0,0.090000153,0
5/4/1986,0,0,0,0.574058533,0.080884933,0.260000229,0,0,0.090000153,0
5/11/1986,0,0,0,0.574058533,0.080884933,0.260000229,0,0,0.090000153,0
5/18/1986,0,0,0,0.574058533,0.080884933,0.260000229,0,0,0.109998703,0
5/25/1986,0,0,0,0.574058533,0.080884933,0.260000229,0,0.197084427,0.179998398,0
6/1/1986,0,0,0,0.509372711,0.080884933,0.260000229,0,0.197084427,0.179998398,0
6/8/1986,0,0,0,0.509372711,0.080884933,0.260000229,0,0.197084427,0.179998398,0
6/15/1986,0,0,0,0.509372711,0.080884933,0.260000229,0,0.197084427,0.179998398,0
6/22/1986,0,0,0,0.509372711,0.080884933,0.260000229,0,0.197084427,0.179998398,0
6/29/1986,0,0,0,0.509372711,0.080884933,0.260000229,0,0.197084427,0.179998398,0
7/6/1986,0,0,0,0.509372711,0.080884933,0.260000229,0,0.197084427,0.179998398,0
7/13/1986,0,0,0,0.509372711,0,0.260000229,0,0.197084427,0.089998245,0
7/20/1986,0,0.046754837,0,0.094686508,0,0,0,0.197084427,0.089998245,0
7/27/1986,0,0.046754837,0,0,0,0,0,0.197084427,0.089998245,0
8/3/1986,0,0.046754837,0,0,0,0,0,0.197084427,0.089998245,0
8/10/1986,0,0.046754837,0,0,0,0,0,0.197084427,0.069999695,0
8/17/1986,0,0.046754837,0,0,0,0,0,0,0,0
8/24/1986,0,0.046754837,0,0,0,0,0,0,0,0.430000305
8/31/1986,0,0.046754837,0,0,0,0,0,0,0,0.430000305
9/7/1986,0,0.046754837,0,0,0,0,0,0,0,0.430000305
9/14/1986,0,0.046754837,0,0,0,0,0,0,0,0.430000305
9/21/1986,0.345291138,0.166843414,0.08351326,0,0,0,0,0,0,0.710000992
9/28/1986,0.345291138,0.266931534,0.08351326,0,0.380884171,0.409999847,0.231758118,0,0.760000229,0.710000992
10/5/1986,0.345291138,0.266931534,0.367027283,0.774686813,0.797641754,0.790569305,0.43073082,0.186603546,0.946203232,0.915000916
10/12/1986,0.345291138,0.220176697,0.767648697,0.921443939,0.94439888,0.901138306,0.469703674,0.213207245,0.972406387,0.915000916
10/19/1986,0.430582047,0.220176697,0.821163177,0.921443939,0.94439888,0.901138306,0.469703674,0.213207245,0.972406387,0.915000916
10/26/1986,0.748041153,0.606931686,1.174676895,0.921443939,1.161155701,0.901138306,0.806461334,0.260292053,1.222406387,0.915000916
11/2/1986,0.748041153,0.606931686,1.174676895,1.676130295,1.932041168,1.691139221,0.853218079,0.260292053,1.727405548,1.33657074
11/9/1986,0.748041153,0.606931686,1.174676895,1.676130295,1.932041168,1.691139221,0.853218079,0.260292053,1.727405548,1.33657074
11/16/1986,0.748041153,0.606931686,1.550689697,1.780815125,2.038797379,1.761707306,1.714975357,0.95737648,2.267404556,0.906570435
11/23/1986,0.893331528,0.733686447,1.550689697,2.180500031,2.275554657,1.962276459,2.861732483,2.414461136,3.007404327,1.476572037
11/30/1986,1.440790176,1.276880264,2.08131218,2.180500031,2.502309799,1.962276459,2.950704575,2.491064072,3.08360672,2.80657196
